# x 	 f(x) 
-10.000 	 5.000 
-9.990 	 4.990 
-9.980 	 4.980 
-9.970 	 4.970 
-9.960 	 4.960 
-9.950 	 4.950 
-9.940 	 4.940 
-9.930 	 4.930 
-9.920 	 4.920 
-9.910 	 4.910 
-9.900 	 4.901 
-9.890 	 4.891 
-9.880 	 4.881 
-9.870 	 4.871 
-9.860 	 4.861 
-9.850 	 4.851 
-9.840 	 4.841 
-9.830 	 4.831 
-9.820 	 4.822 
-9.810 	 4.812 
-9.800 	 4.802 
-9.790 	 4.792 
-9.780 	 4.782 
-9.770 	 4.773 
-9.760 	 4.763 
-9.750 	 4.753 
-9.740 	 4.743 
-9.730 	 4.734 
-9.720 	 4.724 
-9.710 	 4.714 
-9.700 	 4.705 
-9.690 	 4.695 
-9.680 	 4.685 
-9.670 	 4.675 
-9.660 	 4.666 
-9.650 	 4.656 
-9.640 	 4.646 
-9.630 	 4.637 
-9.620 	 4.627 
-9.610 	 4.618 
-9.600 	 4.608 
-9.590 	 4.598 
-9.580 	 4.589 
-9.570 	 4.579 
-9.560 	 4.570 
-9.550 	 4.560 
-9.540 	 4.551 
-9.530 	 4.541 
-9.520 	 4.532 
-9.510 	 4.522 
-9.500 	 4.513 
-9.490 	 4.503 
-9.480 	 4.494 
-9.470 	 4.484 
-9.460 	 4.475 
-9.450 	 4.465 
-9.440 	 4.456 
-9.430 	 4.446 
-9.420 	 4.437 
-9.410 	 4.427 
-9.400 	 4.418 
-9.390 	 4.409 
-9.380 	 4.399 
-9.370 	 4.390 
-9.360 	 4.380 
-9.350 	 4.371 
-9.340 	 4.362 
-9.330 	 4.352 
-9.320 	 4.343 
-9.310 	 4.334 
-9.300 	 4.325 
-9.290 	 4.315 
-9.280 	 4.306 
-9.270 	 4.297 
-9.260 	 4.287 
-9.250 	 4.278 
-9.240 	 4.269 
-9.230 	 4.260 
-9.220 	 4.250 
-9.210 	 4.241 
-9.200 	 4.232 
-9.190 	 4.223 
-9.180 	 4.214 
-9.170 	 4.204 
-9.160 	 4.195 
-9.150 	 4.186 
-9.140 	 4.177 
-9.130 	 4.168 
-9.120 	 4.159 
-9.110 	 4.150 
-9.100 	 4.141 
-9.090 	 4.131 
-9.080 	 4.122 
-9.070 	 4.113 
-9.060 	 4.104 
-9.050 	 4.095 
-9.040 	 4.086 
-9.030 	 4.077 
-9.020 	 4.068 
-9.010 	 4.059 
-9.000 	 4.050 
-8.990 	 4.041 
-8.980 	 4.032 
-8.970 	 4.023 
-8.960 	 4.014 
-8.950 	 4.005 
-8.940 	 3.996 
-8.930 	 3.987 
-8.920 	 3.978 
-8.910 	 3.969 
-8.900 	 3.961 
-8.890 	 3.952 
-8.880 	 3.943 
-8.870 	 3.934 
-8.860 	 3.925 
-8.850 	 3.916 
-8.840 	 3.907 
-8.830 	 3.898 
-8.820 	 3.890 
-8.810 	 3.881 
-8.800 	 3.872 
-8.790 	 3.863 
-8.780 	 3.854 
-8.770 	 3.846 
-8.760 	 3.837 
-8.750 	 3.828 
-8.740 	 3.819 
-8.730 	 3.811 
-8.720 	 3.802 
-8.710 	 3.793 
-8.700 	 3.785 
-8.690 	 3.776 
-8.680 	 3.767 
-8.670 	 3.758 
-8.660 	 3.750 
-8.650 	 3.741 
-8.640 	 3.732 
-8.630 	 3.724 
-8.620 	 3.715 
-8.610 	 3.707 
-8.600 	 3.698 
-8.590 	 3.689 
-8.580 	 3.681 
-8.570 	 3.672 
-8.560 	 3.664 
-8.550 	 3.655 
-8.540 	 3.647 
-8.530 	 3.638 
-8.520 	 3.630 
-8.510 	 3.621 
-8.500 	 3.613 
-8.490 	 3.604 
-8.480 	 3.596 
-8.470 	 3.587 
-8.460 	 3.579 
-8.450 	 3.570 
-8.440 	 3.562 
-8.430 	 3.553 
-8.420 	 3.545 
-8.410 	 3.536 
-8.400 	 3.528 
-8.390 	 3.520 
-8.380 	 3.511 
-8.370 	 3.503 
-8.360 	 3.494 
-8.350 	 3.486 
-8.340 	 3.478 
-8.330 	 3.469 
-8.320 	 3.461 
-8.310 	 3.453 
-8.300 	 3.445 
-8.290 	 3.436 
-8.280 	 3.428 
-8.270 	 3.420 
-8.260 	 3.411 
-8.250 	 3.403 
-8.240 	 3.395 
-8.230 	 3.387 
-8.220 	 3.378 
-8.210 	 3.370 
-8.200 	 3.362 
-8.190 	 3.354 
-8.180 	 3.346 
-8.170 	 3.337 
-8.160 	 3.329 
-8.150 	 3.321 
-8.140 	 3.313 
-8.130 	 3.305 
-8.120 	 3.297 
-8.110 	 3.289 
-8.100 	 3.281 
-8.090 	 3.272 
-8.080 	 3.264 
-8.070 	 3.256 
-8.060 	 3.248 
-8.050 	 3.240 
-8.040 	 3.232 
-8.030 	 3.224 
-8.020 	 3.216 
-8.010 	 3.208 
-8.000 	 3.200 
-7.990 	 3.192 
-7.980 	 3.184 
-7.970 	 3.176 
-7.960 	 3.168 
-7.950 	 3.160 
-7.940 	 3.152 
-7.930 	 3.144 
-7.920 	 3.136 
-7.910 	 3.128 
-7.900 	 3.121 
-7.890 	 3.113 
-7.880 	 3.105 
-7.870 	 3.097 
-7.860 	 3.089 
-7.850 	 3.081 
-7.840 	 3.073 
-7.830 	 3.065 
-7.820 	 3.058 
-7.810 	 3.050 
-7.800 	 3.042 
-7.790 	 3.034 
-7.780 	 3.026 
-7.770 	 3.019 
-7.760 	 3.011 
-7.750 	 3.003 
-7.740 	 2.995 
-7.730 	 2.988 
-7.720 	 2.980 
-7.710 	 2.972 
-7.700 	 2.965 
-7.690 	 2.957 
-7.680 	 2.949 
-7.670 	 2.941 
-7.660 	 2.934 
-7.650 	 2.926 
-7.640 	 2.918 
-7.630 	 2.911 
-7.620 	 2.903 
-7.610 	 2.896 
-7.600 	 2.888 
-7.590 	 2.880 
-7.580 	 2.873 
-7.570 	 2.865 
-7.560 	 2.858 
-7.550 	 2.850 
-7.540 	 2.843 
-7.530 	 2.835 
-7.520 	 2.828 
-7.510 	 2.820 
-7.500 	 2.813 
-7.490 	 2.805 
-7.480 	 2.798 
-7.470 	 2.790 
-7.460 	 2.783 
-7.450 	 2.775 
-7.440 	 2.768 
-7.430 	 2.760 
-7.420 	 2.753 
-7.410 	 2.745 
-7.400 	 2.738 
-7.390 	 2.731 
-7.380 	 2.723 
-7.370 	 2.716 
-7.360 	 2.708 
-7.350 	 2.701 
-7.340 	 2.694 
-7.330 	 2.686 
-7.320 	 2.679 
-7.310 	 2.672 
-7.300 	 2.665 
-7.290 	 2.657 
-7.280 	 2.650 
-7.270 	 2.643 
-7.260 	 2.635 
-7.250 	 2.628 
-7.240 	 2.621 
-7.230 	 2.614 
-7.220 	 2.606 
-7.210 	 2.599 
-7.200 	 2.592 
-7.190 	 2.585 
-7.180 	 2.578 
-7.170 	 2.570 
-7.160 	 2.563 
-7.150 	 2.556 
-7.140 	 2.549 
-7.130 	 2.542 
-7.120 	 2.535 
-7.110 	 2.528 
-7.100 	 2.521 
-7.090 	 2.513 
-7.080 	 2.506 
-7.070 	 2.499 
-7.060 	 2.492 
-7.050 	 2.485 
-7.040 	 2.478 
-7.030 	 2.471 
-7.020 	 2.464 
-7.010 	 2.457 
-7.000 	 2.450 
-6.990 	 2.443 
-6.980 	 2.436 
-6.970 	 2.429 
